domain,url,brand_name,category,esp,source
100percentpure.com,https://100percentpure.com,100% Pure,natural color cosmetics,klaviyo,workflow
108knots.com,https://108knots.com,108 Knots,jewelry,privy,workflow
10deep.com,https://10deep.com,10 Deep,streetwear,klaviyo,workflow
111skin.com,https://111skin.com,111Skin,skincare,attentive,workflow
1620usa.com,https://1620usa.com,1620 Workwear,performance workwear,klaviyo,workflow
18herbs.com,https://18herbs.com,18 Herbs,health,,workflow
19nine.com,https://19nine.com,19nine,apparel,klaviyo,workflow
1stphorm.com,https://1stphorm.com,1st Phorm,sports supplements,klaviyo,workflow
1upnutrition.in,https://1upnutrition.in,1Up Nutrition,health,,workflow
20x200.com,https://20x200.com,20x200,wall art,klaviyo,workflow
24bottles.com,https://24bottles.com,24Bottles,accessories,,workflow
24mantra.com,https://24mantra.com,24 Mantra Organic,pantry,,workflow
2modern.com,https://2modern.com,2Modern,furniture decor,klaviyo,workflow
2pood.com,https://2pood.com,2POOD,weightlifting belts,klaviyo,workflow
360cookware.com,https://360cookware.com,360 Cookware,cookware,klaviyo,workflow
3bears.de,https://3bears.de,3Bears,Breakfast / Food,klaviyo,workflow
3dmlifestyle.com,https://3dmlifestyle.com,3DM Lifestyle,lifestyle,klaviyo,workflow
3fe.com,https://3fe.com,3fe Coffee,coffee roaster,,workflow
3sixteen.com,https://3sixteen.com,Allbirds Apparel,denim,klaviyo,workflow
4-legger.com,https://4-legger.com,4-Legger,organic dog shampoo,klaviyo,workflow
4505meats.com,https://4505meats.com,4505 Meats,snacks/chicharrones,omnisend,workflow
4700bc.com,https://4700bc.com,4700BC,food,,workflow
4conly.com,https://4conly.com,4C Only,coily haircare,klaviyo,workflow
4hunnid.com,https://4hunnid.com,Born x Raised-adjacent 4Hunnid,streetwear,klaviyo,workflow
4moms.com,https://4moms.com,Lalo / 4moms,baby gear,klaviyo,workflow
4thandreckless.com,https://4thandreckless.com,4th and Reckless,womens fashion boutique,attentive,workflow
54celsius.com,https://54celsius.com,54 Celsius (StinkyZoom),candles  home fragrance,klaviyo,workflow
54thrones.com,https://54thrones.com,54 Thrones,body care,klaviyo,workflow
5boronyc.com,https://5boronyc.com,5Boro NYC,skate,,workflow
5percentnutrition.com,https://5percentnutrition.com,5% Nutrition,sports supplements,privy,workflow
6thsensefishing.com,https://6thsensefishing.com,6th Sense Fishing,fishing lures,omnisend,workflow
7forallmankind.com,https://7forallmankind.com,7 For All Mankind,apparel,attentive,workflow
7mesh.com,https://7mesh.com,7mesh,cycling apparel,,workflow
a7.co,https://a7.co,A7 / Pioneer,powerlifting apparel,klaviyo,workflow
aachho.com,https://aachho.com,Aachho,jewelry,,workflow
